"Time (s)"	"Sound pressure level (dB)"
5.610150229E1	9.078799030E1
5.620552967E1	8.670400247E1
5.631172971E1	8.886756943E1
5.641644371E1	9.153743049E1
5.652212779E1	8.561228380E1
5.662837575E1	9.173353262E1
5.673497912E1	8.435260352E1
5.684154412E1	9.080184772E1
5.694503146E1	8.468256412E1
5.704989263E1	9.010971224E1
5.715563450E1	8.550078820E1
5.726165821E1	8.731319240E1
5.736823033E1	8.719397507E1
5.747400717E1	8.736351161E1
5.757835892E1	8.901454150E1
5.768476163E1	8.851774148E1
5.778648375E1	8.929389734E1
5.789213025E1	8.708213427E1
5.799416375E1	8.669691074E1
5.810074808E1	8.838783358E1
5.820549783E1	8.626336539E1
5.831168058E1	9.055238872E1
5.841644346E1	8.415247862E1
5.852210913E1	7.674326062E1
5.862766404E1	6.962492006E1
5.873408317E1	6.299104182E1
5.884056617E1	5.792103450E1
5.894437446E1	5.573398560E1
5.904997288E1	5.511252377E1
5.915618163E1	5.934187746E1
5.926115492E1	5.630478138E1
5.936394233E1	5.803257821E1
5.947043087E1	5.515087897E1
5.957596471E1	6.842009092E1
5.967798629E1	8.535383846E1
5.978443004E1	8.369523259E1
5.988947533E1	8.575955404E1
5.999463612E1	8.509858734E1
6.010042233E1	8.945307499E1
6.020550508E1	8.130566220E1
6.031148596E1	8.622362088E1
6.041648950E1	8.995377153E1
6.052209942E1	8.369945566E1
6.062635979E1	9.018224395E1
6.072823242E1	8.252375423E1
6.083470575E1	8.852500579E1
6.093951429E1	8.603492867E1
6.104493696E1	8.302900740E1
6.114992904E1	8.972696278E1
6.125613733E1	8.256512095E1
6.136175983E1	8.993009418E1
6.146828717E1	8.831291268E1
6.157392146E1	8.734348938E1
6.167860279E1	8.972611303E1
6.178508563E1	8.879407303E1
6.188949429E1	8.734192478E1
6.199525925E1	8.255515190E1
6.210180833E1	8.897406148E1
6.220555175E1	8.434466731E1
6.231011521E1	9.118167319E1
6.241596221E1	8.695276337E1
6.252218633E1	9.150785635E1
6.262693592E1	8.626709892E1
6.272890292E1	9.021461950E1
6.283549708E1	8.158881097E1
6.294205946E1	8.687635999E1
6.304558525E1	8.577038856E1
6.314909613E1	9.131925250E1
6.325551462E1	8.486126482E1
6.336043237E1	9.230452035E1
6.346573713E1	8.498509318E1
6.357223688E1	9.108621638E1
6.367715013E1	8.295870049E1
6.378238408E1	8.626205993E1
6.388648450E1	8.517883870E1
6.399298446E1	9.014517241E1
6.409907721E1	8.563421658E1
6.420551087E1	8.981464590E1
6.431070842E1	8.456028449E1
6.441575200E1	8.995332847E1
6.452218437E1	8.536632082E1
6.462744238E1	9.101696580E1
6.473207817E1	8.885443486E1
6.483867242E1	9.024591474E1
6.494417771E1	8.844890594E1
6.504907571E1	8.935561026E1
6.515554871E1	8.780553932E1
6.526118838E1	9.161109205E1
6.536314967E1	8.645655811E1
6.546967779E1	9.214268856E1
6.557399325E1	8.456555359E1
6.567992942E1	9.162241312E1
6.578648679E1	8.907076838E1
6.589185554E1	8.354324320E1
6.599466708E1	8.915823890E1
6.609662621E1	6.881469924E1
6.620311004E1	7.370185020E1
6.630861708E1	7.990764742E1
6.641342700E1	7.935312816E1
6.651650917E1	7.534421335E1
6.662211042E1	8.549000820E1
6.672808258E1	8.655089914E1
6.683013596E1	7.807426955E1
6.693575542E1	6.601543300E1
6.704181608E1	6.324742213E1
6.714695771E1	6.637707151E1
6.724989108E1	6.943170745E1
6.735562217E1	8.601148802E1
6.746165204E1	8.536172217E1
6.756364117E1	7.905460225E1
6.767017917E1	7.973275778E1
6.777523925E1	8.209068754E1
6.788047567E1	8.603058266E1
6.798619142E1	8.048114698E1
6.809190850E1	8.451589880E1
6.819715563E1	8.107926884E1
6.830371417E1	8.428618517E1
6.840970300E1	6.475077076E1
6.851399783E1	7.453479235E1
6.861642496E1	8.770740467E1
6.872210304E1	8.166351438E1
6.882870654E1	8.699113098E1
6.893076342E1	8.071552851E1
6.903729483E1	8.797972452E1
6.914186275E1	8.348761763E1
6.924745867E1	8.828798954E1
6.934986583E1	7.435774770E1
6.945565400E1	6.234877167E1
6.956226058E1	6.215819961E1
6.966785429E1	5.895588571E1
6.977395317E1	6.096949700E1
6.987900696E1	5.843006152E1
6.998452892E1	5.732792722E1
7.008647125E1	5.833813300E1
7.019294042E1	5.708913334E1
7.029583633E1	5.624222282E1
7.040075608E1	5.878199736E1
7.050554292E1	6.076211316E1
7.060971496E1	5.945143478E1
7.071263004E1	5.984430781E1
7.081643567E1	5.469940717E1
7.092211775E1	5.625979329E1
7.102649692E1	5.605011174E1
7.113143108E1	5.663745570E1
7.123793650E1	5.574834142E1
7.134311267E1	6.057958752E1
7.144618017E1	7.295109299E1
7.154989833E1	7.639012162E1
7.165640508E1	8.526921543E1
7.176292979E1	8.430187032E1
7.186495567E1	8.971108232E1
7.197143212E1	8.247233813E1
7.207642737E1	7.410876990E1
7.218171575E1	7.444924613E1
7.228647829E1	8.041362210E1
7.239299858E1	8.941667820E1
7.249655888E1	8.298688919E1
7.259855996E1	9.039704289E1
7.270511208E1	8.246985061E1
7.280972646E1	9.001042284E1
7.291334454E1	8.547148274E1
7.301642196E1	8.907496950E1
7.312207325E1	8.656612056E1
7.322651900E1	9.024625448E1
7.333213496E1	8.499759675E1
7.343872946E1	9.080951453E1
7.354308446E1	8.412199834E1
7.364694458E1	8.916726009E1
7.374900775E1	8.445278688E1
7.385402279E1	9.095446014E1
7.395975563E1	8.550790738E1
7.406576983E1	8.640807259E1
7.417226642E1	8.848722852E1
7.427643537E1	8.944739360E1
7.438251017E1	8.712727341E1
7.448653946E1	9.077319531E1
7.459314592E1	8.773682971E1
7.469935396E1	9.086811829E1
7.480553371E1	8.850040644E1
7.490970596E1	9.055230951E1
7.501621967E1	8.501994406E1
7.512215313E1	8.139667124E1
7.522651217E1	8.236083580E1
7.533308575E1	9.057156784E1
7.543998800E1	8.449211622E1
7.554316975E1	9.225301300E1
7.564781425E1	8.819112860E1
7.574991025E1	9.038746714E1
7.585637971E1	8.059050446E1
7.595985017E1	7.083652680E1
7.606477767E1	8.155111515E1
7.616668158E1	9.153203707E1
7.627320150E1	8.669566183E1
7.637647179E1	8.669229532E1
7.648158758E1	9.070389099E1
7.658654358E1	8.439260880E1
7.669280283E1	8.991688419E1
7.679846717E1	8.541492372E1
7.690036471E1	9.130917647E1
7.700545629E1	8.867263929E1
7.710967783E1	9.196890868E1
7.721517462E1	8.826128269E1
7.732175892E1	9.048395122E1
7.742647929E1	8.681502313E1
7.753196425E1	9.007400625E1
7.763403046E1	8.640834436E1
7.774038988E1	9.118391582E1
7.784317642E1	8.874692270E1
7.794882258E1	9.034285230E1
